;year;Día;Mes;valor
316;2019;7;Jun;692.21
317;2019;8;Jun;0.0
318;2019;9;Jun;0.0
319;2019;10;Jun;692.28
320;2019;11;Jun;697.34
321;2019;12;Jun;693.6
322;2019;13;Jun;694.89
323;2019;14;Jun;696.25
324;2019;15;Jun;0.0
325;2019;16;Jun;0.0
326;2019;17;Jun;698.72
327;2019;18;Jun;699.52
328;2019;19;Jun;696.81
329;2019;20;Jun;693.99
330;2019;21;Jun;684.19
331;2019;22;Jun;0.0
332;2019;23;Jun;0.0
333;2019;24;Jun;683.41
334;2019;25;Jun;682.31
335;2019;26;Jun;678.32
336;2019;27;Jun;680.06
337;2019;28;Jun;679.86
338;2019;29;Jun;0.0
339;2019;30;Jun;0.0
340;2019;31;Jun;0.0
341;2020;1;Jun;806.32
342;2020;2;Jun;796.46
343;2020;3;Jun;782.86
344;2020;4;Jun;769.13
345;2020;5;Jun;775.58
346;2020;6;Jun;0.0
347;2020;7;Jun;0.0
348;2020;8;Jun;764.97
349;2020;9;Jun;769.26
350;2020;10;Jun;771.96
351;2020;11;Jun;767.93
352;2020;12;Jun;784.65
353;2020;13;Jun;0.0
354;2020;14;Jun;0.0
355;2020;15;Jun;790.73
356;2020;16;Jun;796.87
357;2020;17;Jun;779.1
358;2020;18;Jun;798.53
359;2020;19;Jun;812.19
360;2020;20;Jun;0.0
361;2020;21;Jun;0.0
362;2020;22;Jun;817.33
363;2020;23;Jun;816.02
364;2020;24;Jun;817.9
365;2020;25;Jun;820.68
366;2020;26;Jun;813.25
367;2020;27;Jun;0.0
368;2020;28;Jun;0.0
369;2020;29;Jun;0.0
370;2020;30;Jun;816.36
371;2020;31;Jun;0.0
372;2019;1;Jul;679.15
373;2019;2;Jul;677.62
374;2019;3;Jul;681.3
375;2019;4;Jul;680.48
376;2019;5;Jul;677.64
377;2019;6;Jul;0.0
378;2019;7;Jul;0.0
379;2019;8;Jul;683.12
380;2019;9;Jul;685.83
381;2019;10;Jul;688.88
382;2019;11;Jul;685.4
383;2019;12;Jul;683.38
384;2019;13;Jul;0.0
385;2019;14;Jul;0.0
386;2019;15;Jul;681.07
387;2019;16;Jul;0.0
388;2019;17;Jul;679.48
389;2019;18;Jul;681.69
390;2019;19;Jul;683.27
391;2019;20;Jul;0.0
392;2019;21;Jul;0.0
393;2019;22;Jul;685.81
394;2019;23;Jul;688.28
395;2019;24;Jul;691.57
396;2019;25;Jul;691.36
397;2019;26;Jul;694.16
398;2019;27;Jul;0.0
399;2019;28;Jul;0.0
400;2019;29;Jul;696.62
401;2019;30;Jul;697.22
402;2019;31;Jul;699.98
403;2020;1;Jul;821.23
404;2020;2;Jul;816.29
405;2020;3;Jul;803.98
406;2020;4;Jul;0.0
407;2020;5;Jul;0.0
408;2020;6;Jul;801.46
409;2020;7;Jul;798.79
410;2020;8;Jul;793.88
411;2020;9;Jul;786.18
412;2020;10;Jul;781.74
413;2020;11;Jul;0.0
414;2020;12;Jul;0.0
415;2020;13;Jul;790.82
416;2020;14;Jul;788.22
417;2020;15;Jul;787.87
418;2020;16;Jul;0.0
419;2020;17;Jul;787.5
420;2020;18;Jul;0.0
421;2020;19;Jul;0.0
422;2020;20;Jul;787.26
423;2020;21;Jul;786.04
424;2020;22;Jul;777.66
425;2020;23;Jul;769.06
426;2020;24;Jul;767.17
427;2020;25;Jul;0.0
428;2020;26;Jul;0.0
429;2020;27;Jul;768.63
430;2020;28;Jul;768.81
431;2020;29;Jul;767.82
432;2020;30;Jul;759.18
433;2020;31;Jul;754.45
434;2019;1;Ago;700.82
435;2019;2;Ago;704.88
436;2019;3;Ago;0.0
437;2019;4;Ago;0.0
438;2019;5;Ago;711.13
439;2019;6;Ago;721.7
440;2019;7;Ago;716.35
441;2019;8;Ago;718.55
442;2019;9;Ago;710.98
443;2019;10;Ago;0.0
444;2019;11;Ago;0.0
445;2019;12;Ago;712.04
446;2019;13;Ago;716.69
447;2019;14;Ago;708.37
448;2019;15;Ago;0.0
449;2019;16;Ago;710.14
450;2019;17;Ago;0.0
451;2019;18;Ago;0.0
452;2019;19;Ago;709.26
453;2019;20;Ago;711.94
454;2019;21;Ago;710.63
